DATE,Accommodation,Accommodation and Food Services,Activities Related to Real Esta,Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services ,Air Transportation ,"Architectural, Engineering, and Related Services",Automotive Equipment Rental and Leasing,Automotive Repair and Maintenance,Average Hourly Earnings of All Employees Construction,Average Hourly Earnings of All Employees Education and Health Services,Average Hourly Earnings of All Employees Financial Activities ,Average Hourly Earnings of All Employees Goods Producing ,Average Hourly Earnings of All Employees Information ,Average Hourly Earnings of All Employees Leisure and Hospitality ,Average Hourly Earnings of All Employees Other Services ,Average Hourly Earnings of All Employees Private Service Providing ,Average Hourly Earnings of All Employees Professional and Business Services ,Average Hourly Earnings of All Employees Total Private ,"Average Hourly Earnings of All Employees Trade, Transportation, and Utilities ",Average Hourly Earnings of Production Employees Manufacturing ,Average Weekly Earnings of All Employees Construction ,Average Weekly Earnings of All Employees Information ,Average Weekly Earnings of All Employees Manufacturing ,Average Weekly Earnings of All Employees Other Services ,Average Weekly Earnings of All Employees Total Private ,Average Weekly Earnings of Production Employees Manufacturing ,Average Weekly Hours of All Employees Goods Producing ,Average Weekly Hours of All Employees Other Services ,Average Weekly Hours of All Employees Private Service Providing ,Average Weekly Hours of All Employees Total Private ,Business Support Services ,Civic and Social Organizations ,Computer Systems Design and Related Services ,Consumer Goods Rental ,Couriers and Messengers ,Drinking Places ,Drycleaning and Laundry Services ,Educational Services ,Employment Services ,Facilities Support Services ,Federal Government ,Financial Activities ,Freight Transportation Arrangement ,General Rental Centers ,Goods Producing ,Government ,Grant making anf Giving Services ,Health Care and Social Assistance ,Information ,Investigation and Security Services ,Legal Sevices ,Leisure and Hospitality ,Lessors of Real Estate ,Local Government ,Local Government Educational Services ,Logging ,Management of Companies and Enterprises ,"Management, Scientific, and Technical Consulting Services ",Mining ,Mining and Logging ,"Mining, Logging, and Construction ",Office Administrative Services ,Other Personal Services ,"Other Professional, Scientific, and Technical Services ",Other Services ,Other Support Services ,Personal and Laundry Services,Personal Care Services,Professional and Business Services,Real Estate,Real Estate and Rental and Leasing,Religious Organisations,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Rental and Leasing Services,Repair and Maintenance,School and Employee Bus Transportation,Scientific Research and Development Services,Services to Buildings and Dwellings,Social Advocacy Organizations,Social Assistance,Special Food Services,Specialized Design Services,State Government Educational Services,Support Activities for Road Transportation,Support Activities for Transportation,Support Activities for Water Transportation,Transit and Ground Passenger Transportation,Transportation and Warehousing,Travel Arrangement and Reservation Services,Truck Transportation,Utilities,Warehousing and Storage,Waste Management and Remediation Services,Wholesale Trade
01-01-1990,190.3,889.7,59.7,613.7,583.9,70.7,124.4,19.8,91.8,26.73,24.53,38.75,25.23,35.64,13.8,18.23,24.96,30.19,25.02,20.41,14.5,924.86,1204.63,39.4,563.31,848.18,571.3,36.8,30.9,33.2,33.9,47.6,27.8,63.3,24.6,50.2,26.9,40.5,179.9,221.4,7.6,354.5,817.1,15.3,6.6,2604.9,2046.3,16.8,947.1,385.8,78.7,122.9,1063.2,72.5,1314.5,724.3,3,179.7,60.3,30.2,33.2,650.4,29.5,28.2,39.1,407.2,31,118.6,39.8,1470.4,168.5,241.3,68,155.4,68.1,133.2,9.2,90,134.7,9,146.8,50,16.7,169.2,8,50.8,11.1,26.1,348.7,36.4,84.1,64.8,42.9,29.8,542.7
01-02-1990,192.7,897.1,60.4,619.2,589,71,124.6,20,92.7,25.07,24.54,37.85,24.68,34.63,13.65,18.41,24.75,30.06,24.74,20.08,14.47,879.96,1184.35,39.8,561.51,841.16,575.91,37,30.5,33.3,34,48.1,29.8,64.6,24.9,50.6,27,40.2,189.8,222.3,7.4,353.8,821.9,15.5,6.6,2616.2,2067.7,17.7,954.4,391,79,123.3,1073.2,73,1333.4,739.3,2.8,180.2,61.6,30.3,33.1,650.9,30.2,27.8,39.6,411.3,32.1,118.1,40.1,1489.1,170.2,243.3,68.5,159.3,68.4,133.9,9.7,89.9,135.8,9.1,148.9,50,17.1,171.8,8.6,50.9,10.5,27,350,36.9,83.7,64.6,42.6,30.2,544
01-03-1990,194.7,906.8,60.7,629.7,599.3,71.2,126,20.3,93.9,24.94,24.55,37.58,24.67,35.63,13.59,18.53,24.86,30.38,24.82,20.24,14.48,895.35,1229.24,39.8,572.58,848.84,576.3,37.9,30.9,33.4,34.2,48.6,30.2,65.7,25.5,50.8,27.5,40.7,190.2,227.1,7.6,357.9,826.3,15.6,6.6,2631.5,2088.3,17.8,960.4,385.8,79.9,123.3,1088.7,73.7,1345.9,746,3,180.1,62.6,30.3,33.3,661.7,30.8,27.8,39.9,415.5,31.9,119.2,40.5,1503.5,171.1,245.5,68.6,160.8,69.5,135.5,9.8,89.7,139,9.5,149.6,51.5,17.1,175,8.6,51.4,10.4,27.3,353,37.5,85.1,64.6,43.1,30.4,545.3
01-04-1990,195.1,912.7,60.7,622.8,592.3,71.5,126.4,20.3,93.9,25.07,24.44,37.5,24.98,35.38,13.97,18.89,24.9,30.41,24.91,20.37,14.56,900.01,1255.99,39.2,595.04,864.38,570.75,37.9,31.5,34,34.7,49.8,30.3,65.3,25.1,51.1,27.3,40.6,191.4,218.9,7.5,367.1,818.9,15.3,6.8,2643.2,2101.9,18.4,965.8,387.2,80.1,123.4,1096.1,73.6,1348.8,746.9,4.1,182,62.7,30.7,34.8,671.4,30.8,27.2,39.3,415.1,29.4,118.2,40.3,1496.5,171,245.1,69.8,161.9,69.3,135,9.3,90.1,141.3,9.3,149.5,51.4,16.8,175.3,8.2,51.2,10.6,26.2,354.3,37.4,87.3,65,42.6,30.5,550.1
01-05-1990,195.1,919.1,61,633.9,603.4,71.8,126.5,20.3,94.4,24.98,24.31,35.59,24.95,34.19,13.9,18.73,24.6,30.21,24.67,20.51,14.59,924.26,1162.46,39.5,571.27,846.18,576.31,38.4,30.5,33.4,34.3,50.2,30.5,64.3,25.4,51.4,27.5,40.7,188.7,223.5,7.4,384.3,820,15.3,6.8,2655.6,2130.2,18.5,966.7,388,81.2,124.2,1107.4,73.8,1357.3,751.5,5.6,182,63.1,30.7,36.3,682.4,31.9,27.5,39.3,416.9,29.9,118.8,40.5,1499.3,171.7,246.3,69.3,162.5,69.7,135.6,9.2,89.8,144.1,9.4,150.1,52.5,16.9,176,8.3,51.4,10.7,26.7,356.6,37.9,88.4,64.9,42.7,30.5,550
01-06-1990,197,929.2,61.9,638,607.7,72.6,127.2,20.6,95.5,25.72,24.52,34.99,25.09,34.25,13.8,18.55,24.53,30.31,24.64,20.27,14.72,910.49,1209.03,39.4,575.05,850.08,579.97,37.9,31,33.7,34.5,49.7,30.7,64.7,25.8,51.6,27.6,41.2,181.8,225.9,7.6,383.8,822.5,15.3,6.8,2675.7,2124.9,17.4,972.7,389.6,80.5,128,1122.2,73.6,1354.6,740.4,6.7,181.4,63.6,31.1,37.8,697.1,32.2,27.8,39.7,418.5,29.9,119.4,40.4,1507.2,172.5,248.1,68.9,162.1,70.4,137,9.2,90,146.2,9.6,151.8,53.7,17.2,172.1,8.3,51.3,10.2,27.4,360.6,38.4,90.8,65.1,42.9,30.3,552.5
01-07-1990,199.9,935.2,64.8,643.1,612.3,73,127.4,20.8,96.1,26.07,24.76,34.69,25.28,35.08,13.78,19.06,24.66,30.4,24.78,20.43,14.85,920.27,1287.44,39.2,602.3,872.26,582.12,37.8,31.6,34.6,35.2,49.6,31.8,67.6,26,51,28.2,40.9,165.8,230.3,7.9,376.2,818.6,15.5,6.9,2682.2,2015.6,17.8,978.5,393.1,82,128.7,1132.9,74.9,1267.6,640.9,7.3,180.2,64.7,31.3,38.6,699.7,31.3,28.6,39.6,421.2,31.4,119.9,40.1,1509.9,176.8,248.8,68.5,164.1,70.8,137.2,8.8,88.9,144.9,10.1,154.1,54,17,154.8,8.4,52.2,10.7,27.1,363.6,38.3,92,66,43.3,30.8,549.7
01-08-1990,200.4,937.8,64.5,648.1,617.2,73.4,127.2,20.9,96.4,26.35,24.63,33.87,25.29,34.52,13.74,18.78,24.25,29.59,24.46,20.13,14.76,930.16,1249.62,39.7,578.42,848.76,585.97,37.9,30.8,34,34.7,49.8,32,68.2,26.4,51.5,27.9,40.8,169.1,230.6,8.3,364,818.9,15.7,6.8,2694.3,1965.9,17.8,982.9,393.4,83.1,128.1,1136.1,74.8,1232.3,607.4,7.3,178.4,65,31,38.3,704.8,31.7,28.7,40,420.7,32.5,119.4,39.6,1513.6,176.7,249,68.1,164.1,71.1,137.2,7.6,88.2,146,10.3,155.7,53.5,17.1,152.5,8.4,52,10.4,25.9,363.9,38.7,93,66,43.5,30.9,549.1
01-09-1990,198.5,934.6,64.3,651.6,620.7,73.7,125.7,21,96,26.77,24.73,33.42,25.54,35.34,13.84,19.07,24.49,30.14,24.7,20.35,14.8,950.34,1289.91,39.9,600.71,869.44,590.52,38.1,31.5,34.5,35.2,49.5,31.2,68.5,26.6,51.8,28,41.1,177.9,234.1,8.3,353.3,820.2,15.9,6.7,2683.4,2046.3,18.1,985.3,393.7,83.5,125.7,1127.5,75.2,1317.2,703.7,7.5,178.1,65.4,31.3,38.8,705.6,31.7,29.6,41.1,421.6,32.2,121.1,40.2,1515.6,177,249.6,68.3,163.2,71.3,137.3,8.7,87.8,146.7,9.9,157.3,55.1,17.3,157.9,8.5,53,11.2,27.2,366.5,38.4,93.1,65.6,43.4,30.9,548.6
01-10-1990,195.4,915.4,60.5,639.9,609.2,74.3,126.8,20.2,94.7,27.13,24.68,31.92,25.58,34.75,13.72,19.02,24.15,29.76,24.44,20.11,14.78,952.26,1261.43,39.6,593.42,838.29,585.29,37.6,31.2,33.6,34.3,50.4,31.1,68.5,25.9,52.1,27.5,41.5,191.5,224.4,8.1,349.5,812,15.9,6.7,2651.8,2095.1,18.2,995.4,397.6,83.1,129.5,1105.5,73.6,1358,745.3,6.5,178.8,66.1,31.7,38.2,695.1,31.7,29.5,41.7,420.8,32.5,121.6,40.1,1514.7,170.1,245.9,68.6,163,70.3,136.2,9.8,89,143.9,9.7,155.6,54.1,16.7,170.5,8.3,52.5,10.6,27.4,367,38.5,92.4,65.6,44.2,30.7,555
