DATE,Accommodation,Accommodation and Food Services,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services,Air Transportation,"Architectural, Engineering, and Related Services",Automotive Repair and Maintenance,Average Hourly Earnings of All Employees Construction,Average Hourly Earnings of All Employees Education and Health Services,Average Hourly Earnings of All Employees Financial Activities,Average Hourly Earnings of All Employees Goods Producing,Average Hourly Earnings of All Employees Leisure and Hospitality,Average Hourly Earnings of All Employees Manufacturing,Average Hourly Earnings of All Employees Other Services,Average Hourly Earnings of All Employees Professional and Business Services,Average Hourly Earnings of All Employees Total Private,"Average Hourly Earnings of All Employees Trade, Transportation, and Utilities",Average Weekly Earnings of All Employees Construction,Average Weekly Earnings of All Employees Education and Health Services,Average Weekly Earnings of All Employees Financial Activities,Average Weekly Earnings of All Employees Leisure and Hospitality,Average Weekly Earnings of All Employees Manufacturing,Average Weekly Earnings of All Employees Other Services,Average Weekly Earnings of All Employees Private Service Providing,Average Weekly Earnings of All Employees Professional and Business Services,Average Weekly Earnings of All Employees Total Private,"Average Weekly Earnings of All Employees Trade, Transportation, and Utilities",Average Weekly Hours of All Employees Construction,Average Weekly Hours of All Employees Education and Health Services,Average Weekly Hours of All Employees Financial Activities,Average Weekly Hours of All Employees Goods Producing,Average Weekly Hours of All Employees Leisure and Hospitality,Average Weekly Hours of All Employees Manufacturing,Average Weekly Hours of All Employees Other Services,Average Weekly Hours of All Employees Private Service Providing,Average Weekly Hours of All Employees Professional and Business Services,Average Weekly Hours of All Employees Total Private,"Average Weekly Hours of All Employees Trade, Transportation, and Utilities",Average Weekly Hours of Production Employees Manufacturing,Business Support Services,Construction,Couriers and Messengers,Education and Health Services,Educational Services,Federal Government,Financial Activities,Food Services and Drinking Places,Goods Producing ,Government,Health Care and Social Assistance,Information ,Investigation and Security Services,Legal Services ,Leisure and Hospitality,Local Government ,Management of Companies and Enterprises ,"Management, Scientific, and Technical Consulting Services",Manufacturing,Mining and Logging,"Mining, Logging, and Construction ",New Private Housing Units Authorized by Building Permits,Other Services,Personal and Laundry Services,Private Service Providing,Professional and Business Services,"Professional, Scientific and Tech Services",Real Estate Leasing and rental Services,Real Estate,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Retail Trade,Service-Providing,Services to Buildings and Dwellings,Social Assistance,State Government,Support Activities for Transportation,Total Nonfarm,Total Private,Transportation and Warehousing,Travel Arrangement and Reservation Services,Truck Transportation,Unemployment Rate,Utilities,Warehousing and Storage,Waste Management and Remediation Services,Water Transportation,Wholesale Trade
01-01-1990,143,565.7,48.4,135,123.4,32.3,49.8,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.2,17.1,582.4,48.4,121.4,363.2,422.7,921.8,829.5,534,128.1,27.3,57.2,702.7,539.2,39.4,9.2,517.4,,,14982,208.5,65.1,3562.5,361.2,186.8,124,85.2,81.5,780.6,4392,0,63.3,168.9,31.4,5313.8,4484.3,153.2,0,35.9,5.9,34.1,15.2,11.6,7.2,248.5
01-02-1990,148.2,584.4,51.3,138.9,127.2,33.1,50.1,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.1,17.4,588.1,49.9,121.2,367.8,436.2,924,842.5,538.2,128.4,28.6,57.3,725.5,547.6,39.8,9.8,517.7,,,9318,211.3,66.1,3605.5,370.6,191.9,127.2,86.5,82.7,775,4448,0,64.2,173.7,30.7,5372,4529.5,154.6,0,36.2,5.7,34,15.3,11.7,7.4,250.2
01-03-1990,152.4,599.9,51.5,144.3,132.5,33.6,50.6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.1,17.8,592.1,49.9,124,370.4,447.5,927.2,853.6,542.2,128.2,29.8,57.6,743.3,554.5,40,10,517.9,,,12228,213.8,67.5,3646.2,377.9,193.6,129.5,87.9,83.1,777.8,4499.8,0,65,175.1,31.1,5427,4573.4,156.9,0,36.5,5.5,34.6,15.5,11.8,7.4,251.2
01-04-1990,149.9,588.8,52.6,140.6,128.8,33.6,50.3,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.2,18.2,591.3,49.5,129.2,367.9,438.9,914.1,855.6,541.8,128.3,30.8,57.6,732.4,550.5,39.7,10.1,511.8,,,12314,212.6,66.3,3624,375.5,195.2,126.7,86.7,83.6,772.4,4479.6,0,65.2,175.9,31.5,5393.7,4538.1,157.9,0,36.3,5.7,34.6,15.2,11.8,7.2,251.1
01-05-1990,146.7,583.2,48.1,143.1,131.2,34,50.4,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,18.4,593.7,48.6,139.3,369.6,436.5,915.5,869.7,545.1,128.5,31.6,57.9,723.4,554.2,40.4,10,513.5,,,11836,212.8,65.9,3620.1,375,191.5,127.3,86.6,84.1,772.7,4489.8,0,65.9,176.2,30.8,5405.3,4535.6,158,0,36.2,5.7,34.8,15.2,11.9,7.3,251.6
01-06-1990,145.2,575.9,47.2,145.1,132.9,34.2,50.4,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.4,18.5,594.7,46,131.5,371.8,430.7,917.4,852.6,548.7,129.2,31.8,59.2,718.2,547.6,41.4,10.2,513,,,12078,214.1,66,3627.3,379.7,193.2,128.1,87,85.1,773,4479.9,0,65.5,173.5,31.6,5397.3,4544.7,159.8,0,36.5,6.1,34.8,15.4,12.2,7.4,252
01-07-1990,141.9,561.4,44.9,141.3,128.9,34.4,49.6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.2,17.5,587,40,132.8,369.3,419.5,905.9,797.6,547,129.1,32.6,58.6,701.6,493.6,40.1,10.3,505.5,,,11113,212.4,65.1,3575.4,370.9,189.5,126.3,86.1,85.8,763,4373,0,63.4,171.2,31,5278.9,4481.3,157.8,0,35.9,6.3,34.4,15.6,12.4,7.5,249.9
01-08-1990,141.4,563.1,44.8,143.1,130.8,34.3,49.8,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.1,17.8,592.4,41.3,124.6,371.2,421.7,906.2,789,551.1,129.1,33.6,58.7,700.6,492.3,40,10.4,505.9,,,10667,212.8,65.5,3591,374.5,191.4,127.9,87.3,85.7,765.6,4380,0,63.9,172.1,31,5286.2,4497.2,159,0,36.5,6.5,34.5,15.6,12.3,7.6,251.3
01-09-1990,137.9,556.2,45.7,141.9,129.7,34.5,49.3,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.4,17.7,601.1,47.4,122.6,369.8,418.3,899.8,854.4,553.7,128.9,34.4,58.2,690,554,39.7,10.5,503.4,,,8700,212.2,65.7,3583.3,373.4,191.8,127.4,86.7,84.9,762.3,4437.7,0,65.4,177.8,30.8,5337.5,4483.1,159.4,0,36.3,6.7,34.5,15.6,12.2,7.7,251.7
01-10-1990,137.7,549.1,45.6,140.3,128.2,35.2,48.9,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.7,18.3,606.2,49.3,122.6,367.9,411.4,889.5,870.5,556.9,129.6,34.3,58.5,680.9,568.3,41.2,10.9,497.8,,,8622,211.3,65.3,3588.3,375.1,193.6,126.7,86.7,85.7,771.4,4458.8,0,65.7,179.6,30.9,5348.3,4477.8,160.4,0,35.8,6.3,34.6,15.5,12.1,7.9,250.9
